title,release_date,budget,revenue,vote_average,genres_cleaned
Snakes on a Plane,2006-08-06,33000000.0,62022014.0,5.1,"Action, Crime, Horror, Thriller"
Bommarillu,2006-08-09,1333333.0,5333333.0,5.6,"Drama, Foreign, Romance"
World Trade Center,2006-08-09,63000000.0,162945894.0,5.9,"Drama, History, Thriller"
Zoom,2006-08-11,35000000.0,12506188.0,4.9,"Family, Fantasy, Comedy"
Kabhi Alvida Naa Kehna,2006-08-11,7400000.0,17000000.0,6.1,"Drama, Romance"
Waltzing Anna,2006-08-11,1000000.0,11455.0,7.0,"Drama, Comedy"
Pulse,2006-08-11,38000000.0,29907685.0,5.0,"Horror, Thriller"
Half Nelson,2006-08-11,700000.0,4911725.0,6.5,Drama
Step Up,2006-08-11,12000000.0,114194847.0,6.7,"Music, Drama, Romance, Crime"
Accepted,2006-08-18,23000000.0,38505009.0,6.2,Comedy
No Mercy for the Rude,2006-08-24,3.0,4.0,6.8,"Action, Comedy"
Beerfest,2006-08-25,17500000.0,19179969.0,5.8,Comedy
Fur: An Imaginary Portrait of Diane Arbus,2006-08-30,16800000.0,2281089.0,5.8,"Drama, Mystery, Romance"
Little Man,2006-08-31,64000000.0,101595121.0,5.3,"Comedy, Crime"
Crank,2006-08-31,12000000.0,42931041.0,6.6,"Action, Thriller, Crime"
The Wicker Man,2006-09-01,40000000.0,38755073.0,4.0,"Mystery, Thriller, Horror"
The Last King of Scotland,2006-09-01,6000000.0,48027970.0,7.4,Drama
Black Book,2006-09-01,21000000.0,26193068.0,7.2,"Drama, Thriller, War"
Alatriste,2006-09-01,24000000.0,23321954.0,5.6,Action
Idiocracy,2006-09-01,30000000.0,495303.0,6.3,"Adventure, Comedy, Science Fiction"
Crossover,2006-09-01,5800000.0,7000000.0,4.2,"Action, Adventure, Drama"
The Namesake,2006-09-02,12000000.0,20138836.0,6.8,Drama
The Fountain,2006-09-06,35000000.0,15304890.0,6.8,"Drama, Adventure, Science Fiction, Romance"
Fido,2006-09-07,8000000.0,426224.0,6.6,"Romance, Comedy, Drama, Horror"
Friends with Money,2006-09-07,6500000.0,13368437.0,5.1,"Comedy, Drama, Romance"
DOA: Dead or Alive,2006-09-07,21000000.0,480314.0,5.0,"Adventure, Action, Thriller"
Sherrybaby,2006-09-08,2000000.0,622806.0,6.3,Drama
The Covenant,2006-09-08,20000000.0,37597471.0,5.2,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller"
